[02:02:45 | 13-02-2025] Wallet Address: 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[15:18:00 | 16-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:18:00 | 16-02-2025] Node Points: 25068
[15:18:00 | 16-02-2025] Last Claim Point: 16/02/2025 04:17:35
[19:30:16 | 16-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:30:16 | 16-02-2025] Node Points: 25068
[19:30:16 | 16-02-2025] Last Claim Point: 16/02/2025 04:17:35
[03:15:40 | 17-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:15:40 | 17-02-2025] Node Points: 25068
[03:15:40 | 17-02-2025] Last Claim Point: 16/02/2025 04:17:35
[08:14:43 | 17-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:14:43 | 17-02-2025] Node Points: 25068
[08:14:43 | 17-02-2025] Last Claim Point: 16/02/2025 04:17:35
[11:18:44 | 17-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:18:44 | 17-02-2025] Node Points: 25068
[11:18:44 | 17-02-2025] Last Claim Point: 16/02/2025 04:17:35
[11:18:45 | 17-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:18:45 | 17-02-2025] 🚨 Failed to start node for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: [object Object]
[19:31:53 | 17-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:31:53 | 17-02-2025] Node Points: 49608
[19:31:53 | 17-02-2025] Last Claim Point: 17/02/2025 04:18:45
[23:19:20 | 17-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:19:20 | 17-02-2025] Node Points: 49608
[23:19:20 | 17-02-2025] Last Claim Point: 17/02/2025 04:18:45
[03:16:27 | 18-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:16:27 | 18-02-2025] Node Points: 49608
[03:16:27 | 18-02-2025] Last Claim Point: 17/02/2025 04:18:45
[08:11:57 | 18-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:11:57 | 18-02-2025] Node Points: 49608
[08:11:57 | 18-02-2025] Last Claim Point: 17/02/2025 04:18:45
[11:18:32 | 18-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:18:32 | 18-02-2025] Node Points: 49608
[11:18:32 | 18-02-2025] Last Claim Point: 17/02/2025 04:18:45
[15:20:05 | 18-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:20:05 | 18-02-2025] Node Points: 49608
[15:20:05 | 18-02-2025] Last Claim Point: 17/02/2025 04:18:45
[15:20:06 | 18-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:20:07 | 18-02-2025] ✅ Node started for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:30:34 | 18-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:30:34 | 18-02-2025] Node Points: 50108
[19:30:34 | 18-02-2025] Last Claim Point: 18/02/2025 08:20:06
[23:19:55 | 18-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:19:55 | 18-02-2025] Node Points: 50108
[23:19:55 | 18-02-2025] Last Claim Point: 18/02/2025 08:20:06
[03:16:25 | 19-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:16:25 | 19-02-2025] Node Points: 50108
[03:16:25 | 19-02-2025] Last Claim Point: 18/02/2025 08:20:06
[08:12:25 | 19-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:12:25 | 19-02-2025] Node Points: 50108
[08:12:25 | 19-02-2025] Last Claim Point: 18/02/2025 08:20:06
[11:19:26 | 19-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:19:26 | 19-02-2025] Node Points: 50108
[11:19:26 | 19-02-2025] Last Claim Point: 18/02/2025 08:20:06
[15:20:42 | 19-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:20:42 | 19-02-2025] Node Points: 50108
[15:20:42 | 19-02-2025] Last Claim Point: 18/02/2025 08:20:06
[15:20:43 | 19-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:20:43 | 19-02-2025] 🚨 Failed to start node for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: [object Object]
[19:28:50 | 19-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:28:50 | 19-02-2025] Node Points: 74773
[19:28:50 | 19-02-2025] Last Claim Point: 19/02/2025 08:20:42
[23:18:59 | 19-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:18:59 | 19-02-2025] Node Points: 74773
[23:18:59 | 19-02-2025] Last Claim Point: 19/02/2025 08:20:42
[03:17:29 | 20-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:17:29 | 20-02-2025] Node Points: 74773
[03:17:29 | 20-02-2025] Last Claim Point: 19/02/2025 08:20:42
[08:12:35 | 20-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:12:35 | 20-02-2025] Node Points: 74773
[08:12:35 | 20-02-2025] Last Claim Point: 19/02/2025 08:20:42
[11:18:31 | 20-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:18:31 | 20-02-2025] Node Points: 74773
[11:18:31 | 20-02-2025] Last Claim Point: 19/02/2025 08:20:42
[15:20:22 | 20-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:20:22 | 20-02-2025] Node Points: 74773
[15:20:22 | 20-02-2025] Last Claim Point: 19/02/2025 08:20:42
[19:31:32 | 20-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:31:32 | 20-02-2025] Node Points: 74773
[19:31:32 | 20-02-2025] Last Claim Point: 19/02/2025 08:20:42
[19:31:34 | 20-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:31:34 | 20-02-2025] ✅ Node started for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:20:18 | 20-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:20:18 | 20-02-2025] Node Points: 100273
[23:20:18 | 20-02-2025] Last Claim Point: 20/02/2025 12:31:33
[03:17:01 | 21-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:17:01 | 21-02-2025] Node Points: 100273
[03:17:01 | 21-02-2025] Last Claim Point: 20/02/2025 12:31:33
[08:12:55 | 21-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:12:55 | 21-02-2025] Node Points: 100273
[08:12:55 | 21-02-2025] Last Claim Point: 20/02/2025 12:31:33
[11:20:00 | 21-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:20:00 | 21-02-2025] Node Points: 100273
[11:20:00 | 21-02-2025] Last Claim Point: 20/02/2025 12:31:33
[15:19:53 | 21-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:19:53 | 21-02-2025] Node Points: 100273
[15:19:53 | 21-02-2025] Last Claim Point: 20/02/2025 12:31:33
[19:30:56 | 21-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:30:56 | 21-02-2025] Node Points: 100273
[19:30:56 | 21-02-2025] Last Claim Point: 20/02/2025 12:31:33
[23:19:20 | 21-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:19:20 | 21-02-2025] Node Points: 100273
[23:19:20 | 21-02-2025] Last Claim Point: 20/02/2025 12:31:33
[23:19:20 | 21-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:19:21 | 21-02-2025] 🚨 Failed to start node for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: [object Object]
[03:16:34 | 22-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:16:34 | 22-02-2025] Node Points: 100773
[03:16:34 | 22-02-2025] Last Claim Point: 21/02/2025 16:19:20
[08:10:42 | 22-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:10:42 | 22-02-2025] Node Points: 132747
[08:10:42 | 22-02-2025] Last Claim Point: 21/02/2025 16:19:20
[11:18:11 | 22-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:18:11 | 22-02-2025] Node Points: 132747
[11:18:11 | 22-02-2025] Last Claim Point: 21/02/2025 16:19:20
[15:17:39 | 22-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:17:39 | 22-02-2025] Node Points: 132747
[15:17:39 | 22-02-2025] Last Claim Point: 21/02/2025 16:19:20
[19:27:26 | 22-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:27:26 | 22-02-2025] Node Points: 132747
[19:27:26 | 22-02-2025] Last Claim Point: 21/02/2025 16:19:20
[23:16:39 | 22-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:16:39 | 22-02-2025] Node Points: 132747
[23:16:39 | 22-02-2025] Last Claim Point: 21/02/2025 16:19:20
[03:15:04 | 23-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:15:04 | 23-02-2025] Node Points: 132747
[03:15:04 | 23-02-2025] Last Claim Point: 21/02/2025 16:19:20
[03:15:04 | 23-02-2025] 🚨 Failed to claim points for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: [object Object]
[03:15:05 | 23-02-2025] ✅ Node started for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:17:36 | 23-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:17:36 | 23-02-2025] Node Points: 132747
[08:17:36 | 23-02-2025] Last Claim Point: 21/02/2025 16:19:20
[08:17:37 | 23-02-2025] 🚨 Failed to claim points for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: [object Object]
[08:17:38 | 23-02-2025] 🚨 Failed to start node for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: [object Object]
[11:17:58 | 23-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:17:58 | 23-02-2025] Node Points: 132747
[11:17:58 | 23-02-2025] Last Claim Point: 21/02/2025 16:19:20
[11:17:59 | 23-02-2025] 🚨 Failed to claim points for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: [object Object]
[11:17:59 | 23-02-2025] 🚨 Failed to start node for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: [object Object]
[15:19:22 | 23-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:19:22 | 23-02-2025] Node Points: 132747
[15:19:22 | 23-02-2025] Last Claim Point: 21/02/2025 16:19:20
[15:19:23 | 23-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:19:24 | 23-02-2025] 🚨 Failed to start node for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: [object Object]
[19:27:57 | 23-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:27:57 | 23-02-2025] Node Points: 133247
[19:27:57 | 23-02-2025] Last Claim Point: 23/02/2025 08:19:23
[23:16:56 | 23-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:16:56 | 23-02-2025] Node Points: 133247
[23:16:56 | 23-02-2025] Last Claim Point: 23/02/2025 08:19:23
[03:15:47 | 24-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:15:47 | 24-02-2025] Node Points: 133247
[03:15:47 | 24-02-2025] Last Claim Point: 23/02/2025 08:19:23
[08:14:49 | 24-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:14:49 | 24-02-2025] Node Points: 157329
[08:14:49 | 24-02-2025] Last Claim Point: 23/02/2025 08:19:23
[15:21:03 | 24-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:21:03 | 24-02-2025] Node Points: 157329
[15:21:03 | 24-02-2025] Last Claim Point: 23/02/2025 08:19:23
[15:21:03 | 24-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:21:04 | 24-02-2025] ✅ Node started for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:32:15 | 24-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:32:15 | 24-02-2025] Node Points: 157829
[19:32:15 | 24-02-2025] Last Claim Point: 24/02/2025 08:21:03
[23:20:43 | 24-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:20:43 | 24-02-2025] Node Points: 157829
[23:20:43 | 24-02-2025] Last Claim Point: 24/02/2025 08:21:03
[03:17:51 | 25-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:17:51 | 25-02-2025] Node Points: 157829
[03:17:51 | 25-02-2025] Last Claim Point: 24/02/2025 08:21:03
[11:19:25 | 25-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:19:25 | 25-02-2025] Node Points: 157829
[11:19:25 | 25-02-2025] Last Claim Point: 24/02/2025 08:21:03
[19:32:07 | 25-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:32:07 | 25-02-2025] Node Points: 181978
[19:32:07 | 25-02-2025] Last Claim Point: 24/02/2025 08:21:03
[19:32:10 | 25-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:33:11 | 25-02-2025] 🚨 Failed to start node for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

[23:20:17 | 25-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:20:17 | 25-02-2025] Node Points: 182478
[23:20:17 | 25-02-2025] Last Claim Point: 25/02/2025 12:32:09
[03:17:33 | 26-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:17:33 | 26-02-2025] Node Points: 182478
[03:17:33 | 26-02-2025] Last Claim Point: 25/02/2025 12:32:09
[11:19:42 | 26-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:19:42 | 26-02-2025] Node Points: 182478
[11:19:42 | 26-02-2025] Last Claim Point: 25/02/2025 12:32:09
[15:20:46 | 26-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:20:46 | 26-02-2025] Node Points: 182478
[15:20:46 | 26-02-2025] Last Claim Point: 25/02/2025 12:32:09
[19:32:00 | 26-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:32:00 | 26-02-2025] Node Points: 182478
[19:32:00 | 26-02-2025] Last Claim Point: 25/02/2025 12:32:09
[23:20:30 | 26-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:20:30 | 26-02-2025] Node Points: 206500
[23:20:30 | 26-02-2025] Last Claim Point: 25/02/2025 12:32:09
[23:20:32 | 26-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[23:20:34 | 26-02-2025] ✅ Node started for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:14:05 | 27-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:14:05 | 27-02-2025] Node Points: 207000
[08:14:05 | 27-02-2025] Last Claim Point: 26/02/2025 16:20:31
[11:19:05 | 27-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:19:05 | 27-02-2025] Node Points: 207000
[11:19:05 | 27-02-2025] Last Claim Point: 26/02/2025 16:20:31
[15:20:54 | 27-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:20:54 | 27-02-2025] Node Points: 207000
[15:20:54 | 27-02-2025] Last Claim Point: 26/02/2025 16:20:31
[19:31:53 | 27-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[19:31:53 | 27-02-2025] Node Points: 207000
[19:31:53 | 27-02-2025] Last Claim Point: 26/02/2025 16:20:31
[03:17:42 | 28-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:17:42 | 28-02-2025] Node Points: 231158
[03:17:42 | 28-02-2025] Last Claim Point: 26/02/2025 16:20:31
[03:17:43 | 28-02-2025] ✅ Points claimed for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[03:17:44 | 28-02-2025] ✅ Node started for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:14:25 | 28-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:14:25 | 28-02-2025] Node Points: 231658
[08:14:25 | 28-02-2025] Last Claim Point: 27/02/2025 20:17:43
[11:19:32 | 28-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[11:19:32 | 28-02-2025] Node Points: 231658
[11:19:32 | 28-02-2025] Last Claim Point: 27/02/2025 20:17:43
[15:20:22 | 28-02-2025] Wallet Address: 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[15:20:22 | 28-02-2025] Node Points: 231658
[15:20:22 | 28-02-2025] Last Claim Point: 27/02/2025 20:17:43
